model_2008,displ_2008,cyl_2008,trans_2008,drive_2008,fuel_2008,veh_class_2008,air_pollut_2008,city_mpg_2008,hwy_mpg_2008,cmb_mpg_2008,greenhouse_2008,smartway_2008,model,displ,cyl,trans,drive,fuel,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway
KIA Spectra,2.0,4,Auto-L4,2WD,Gasoline,midsize car,9.5,24.0,32.0,27.0,8,yes,LINCOLN MKT,3.5,6.0,SemiAuto-6,4WD,Gasoline,standard SUV,3.0,15.0,21.0,17.0,3.0,No
KIA Spectra,2.0,4,Man-5,2WD,Gasoline,midsize car,7.0,23.0,30.0,26.0,8,yes,LINCOLN MKT,3.7,6.0,SemiAuto-6,2WD,Gasoline,standard SUV,3.0,16.0,24.0,19.0,3.0,No
KIA Spectra,2.0,4,Auto-L4,2WD,Gasoline,midsize car,7.0,24.0,32.0,27.0,8,yes,LINCOLN MKT Livery,3.7,6.0,Auto-6,4WD,Gasoline,special purpose,3.0,16.0,23.0,18.0,3.0,No
KIA Sportage,2.0,4,Auto-L4,2WD,Gasoline,SUV,7.0,19.0,25.0,21.0,6,yes,MASERATI Ghibli,3.0,6.0,Auto-8,2WD,Gasoline,midsize car,1.0,17.0,24.0,19.0,3.0,No
KIA Sportage,2.0,4,Man-5,2WD,Gasoline,SUV,7.0,20.0,25.0,22.0,6,yes,MASERATI Ghibli S,3.0,6.0,Auto-8,2WD,Gasoline,midsize car,1.0,16.0,24.0,19.0,3.0,No
KIA Sportage,2.0,4,Man-5,4WD,Gasoline,SUV,7.0,19.0,24.0,21.0,6,yes,MASERATI Ghibli S Q4,3.0,6.0,Auto-8,4WD,Gasoline,midsize car,1.0,16.0,24.0,19.0,3.0,No
KIA Sportage,2.7,6,Auto-L4,2WD,Gasoline,SUV,6.0,17.0,23.0,20.0,6,no,MASERATI Granturismo,4.7,8.0,Auto-6,2WD,Gasoline,small car,1.0,13.0,21.0,16.0,2.0,No
KIA Sportage,2.7,6,Auto-L4,4WD,Gasoline,SUV,6.0,17.0,21.0,19.0,5,no,MASERATI Granturismo Convertible,4.7,8.0,Auto-6,2WD,Gasoline,small car,1.0,13.0,20.0,15.0,2.0,No
LAMBORGHINI Gallardo Coupe,5.0,10,Man-6,4WD,Gasoline,small car,6.0,10.0,17.0,13.0,1,no,MASERATI Levante,3.0,8.0,Auto-8,4WD,Gasoline,standard SUV,1.0,14.0,20.0,16.0,2.0,No
LAMBORGHINI Gallardo Coupe,5.0,10,Auto-S6,4WD,Gasoline,small car,6.0,11.0,17.0,13.0,1,no,MASERATI Levante S,3.0,8.0,Auto-8,4WD,Gasoline,standard SUV,1.0,14.0,19.0,16.0,2.0,No
